"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"2","VonBert_K_Fem_GP_1",0.05,-74.833,0.000402234,17972.6,1335.26,0.0742941,0
"1","VonBert_K_Fem_GP_1",0.1,-65.6875,0.000593717,70010.3,14756.9,0.210782,3
"3","VonBert_K_Fem_GP_1",0.15,-131.942,6.00504e-05,117549,30581.4,0.260158,1
"4","VonBert_K_Fem_GP_1",0.15,-131.942,6.00504e-05,117549,30581.4,0.260158,1
"5","VonBert_K_Fem_GP_1",0.2,-109.521,0.000128747,166159,36639.5,0.220509,0
